Goods Category,Year,Value(USD)
Basic Ferrous Metal Products,2013,21517.7
Animals and Animal Products,2014,16513.5
Plant Products,2014,22315.1
Mineral products,2014,4791481.7
Chemical products,2014,645.3
Raw hides skin and fur products,2014,35800.5
Wooden products,2014,636.0
Crocheted products,2014,338751.6
Precious stones and metal products,2014,405577.7
Basic Ferrous Metal Products,2014,47703.0
Animals and Animal Products,2015,26382.0
Plant Products,2015,37844.0
Mineral products,2015,3678200.0
Chemical products,2015,656.3
Raw hides skin and fur products,2015,33805.6
Wooden products,2015,425.4
Crocheted products,2015,302654.5
Precious stones and metal products,2015,421385.0
Basic Ferrous Metal Products,2015,72279.0
Animals and Animal Products,2016,29242.2
Plant Products,2016,55107.5
Mineral products,2016,3484046.6
Chemical products,2016,1631.4
Raw hides skin and fur products,2016,30210.4
Wooden products,2016,429.0
Crocheted products,2016,300223.4
Precious stones and metal products,2016,761511.2
Basic Ferrous Metal Products,2016,86178.1
Animals and Animal Products,2017,67416.8
Plant Products,2017,67654.8
Mineral products,2017,4933672.1
Chemical products,2017,1470.9
Raw hides skin and fur products,2017,23920.7
Wooden products,2017,633.5
Crocheted products,2017,335466.0
Precious stones and metal products,2017,596939.2
Basic Ferrous Metal Products,2017,101000.6
Animals and Animal Products,2018,102121.2
Plant Products,2018,22010.5
Mineral products,2018,6070339.2
Chemical products,2018,1247.7
Raw hides skin and fur products,2018,16960.3
Wooden products,2018,356.7
Crocheted products,2018,409800.7
Precious stones and metal products,2018,145480.7
Basic Ferrous Metal Products,2018,91754.7
Animals and Animal Products,2019,97610.5
Plant Products,2019,12463.3
Mineral products,2019,6377586.4
Chemical products,2019,2260.5
Raw hides skin and fur products,2019,14119.8
Wooden products,2019,604.1
Crocheted products,2019,434672.3
Precious stones and metal products,2019,419075.8
Basic Ferrous Metal Products,2019,77821.2
Animals and Animal Products,2020,52915.3
Plant Products,2020,11029.2
Mineral products,2020,5256037.3
Chemical products,2020,575.4
Raw hides skin and fur products,2020,7433.7
Wooden products,2020,305.9
Crocheted products,2020,279484.6
Precious stones and metal products,2020,1789935.1
Basic Ferrous Metal Products,2020,66621.0
Animals and Animal Products,2021,42266.5
Plant Products,2021,89311.8
Mineral products,2021,7510437.7
Chemical products,2021,588.0
Raw hides skin and fur products,2021,6478.4
Wooden products,2021,117.7
Crocheted products,2021,370657.9
Precious stones and metal products,2021,1025376.6
Basic Ferrous Metal Products,2021,97068.5
Animals and Animal Products,2022,65256.8
Plant Products,2022,99742.9
Mineral products,2022,10543268.9
Chemical products,2022,672.9
Raw hides skin and fur products,2022,5239.2
Wooden products,2022,256.6
Crocheted products,2022,486156.3
Precious stones and metal products,2022,1135442.9
Basic Ferrous Metal Products,2022,98870.4
Animals and Animal Products,2023,200066.0
Plant Products,2023,160741.0
Mineral products,2023,13146454.2
Chemical products,2023,1486.4
Raw hides skin and fur products,2023,4758.5
Wooden products,2023,365.6
Crocheted products,2023,451152.6
Precious stones and metal products,2023,762000.6
Basic Ferrous Metal Products,2023,123035.2
